City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Razole,IN,16.4833,81.8333,73.69,73,18,3.09,few clouds
79,Nelson Bay,AU,-32.7167,152.15,77.77,71,54,11.23,light rain
80,Kattivakkam,IN,13.2167,80.3167,77.09,91,8,11.23,clear sky
81,Atasu,KZ,48.6814,71.6433,7.63,80,100,7.58,overcast clouds
82,Faya,SA,18.3851,42.4509,52.32,88,8,3.2,clear sky
83,Albany,US,42.6001,-73.9662,4.59,61,6,3.36,clear sky
84,Wuzhou,CN,23.4833,111.3167,60.22,92,100,0.92,light rain
85,Caborca,MX,30.5838,-111.101,58.62,30,0,4.81,clear sky
86,Oktyabrskoye,RU,43.0645,44.7417,14.14,92,7,8.95,clear sky
87,Digha,IN,21.6833,87.55,73.06,62,0,3.74,clear sky
88,Upernavik,GL,72.7868,-56.1549,-11.45,98,66,6.91,broken clouds
89,Cape Town,ZA,-33.9258,18.4232,70.21,75,0,3.0,clear sky
90,Ust-Ordynskiy,RU,52.805,104.7508,3.04,92,100,5.66,overcast clouds
91,Harbour Breton,CA,47.4833,-55.7983,21.99,67,95,15.01,overcast clouds
92,Hermanus,ZA,-34.4187,19.2345,72.81,86,38,14.67,scattered clouds
93,Vaitape,PF,-16.5167,-151.75,81.3,76,100,16.11,light rain
94,Rocha,UY,-34.4833,-54.3333,74.55,95,100,11.54,moderate rain
95,Mar Del Plata,AR,-38.0023,-57.5575,73.09,95,100,4.72,overcast clouds
96,Lebyazhye,RU,55.2689,66.4947,-13.27,100,91,2.77,overcast clouds
97,Constitucion,CL,-35.3333,-72.4167,53.87,90,1,5.06,clear sky
98,Fortuna,US,40.5982,-124.1573,47.32,93,0,0.0,clear sky
99,Te Anau,NZ,-45.4167,167.7167,77.56,29,6,5.59,clear sky
100,Burns Lake,CA,54.2331,-125.7533,27.82,97,100,3.98,overcast clouds
101,Mlonggo,ID,-6.5333,110.7,85.89,81,95,10.18,overcast clouds
102,Dikson,RU,73.5069,80.5464,14.29,96,100,6.13,overcast clouds
103,Nome,US,64.5011,-165.4064,26.67,74,100,17.27,light snow
104,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,92.61,36,62,10.58,broken clouds
105,Atyashevo,RU,54.5644,46.0691,16.52,94,96,10.98,overcast clouds
106,Hami,CN,42.8,93.45,25.99,49,31,2.42,scattered clouds
107,Kudahuvadhoo,MV,2.6708,72.8944,80.35,74,42,7.67,scattered clouds
108,Tautira,PF,-17.7333,-149.15,82.42,79,100,6.6,overcast clouds
109,Ekibastuz,KZ,51.6667,75.3667,2.55,91,26,7.72,scattered clouds
110,Kultuk,RU,51.7208,103.6956,15.55,93,100,5.39,light snow
111,Tura,IN,25.5198,90.2201,63.75,60,4,1.52,clear sky
112,Touros,BR,-5.1989,-35.4608,77.9,73,79,8.19,broken clouds
113,Swift Current,CA,50.2834,-107.8014,14.81,85,100,2.3,overcast clouds
114,Ponta Do Sol,PT,32.6667,-17.1,65.03,57,93,11.48,overcast clouds
115,Almaznyy,RU,48.0448,40.045,26.74,94,100,9.51,snow
116,Sala,MA,34.0389,-6.8166,52.63,100,1,3.44,clear sky
117,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,88,75,17.45,broken clouds
118,Pisco,PE,-13.7,-76.2167,70.02,83,0,9.22,clear sky
119,Muncar,ID,-8.4333,114.3333,85.5,66,100,6.53,overcast clouds
120,Piazza Armerina,IT,37.3859,14.3672,41.65,88,44,4.09,scattered clouds
121,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,73.26,88,3,3.24,clear sky
122,Butaritari,KI,3.0707,172.7902,81.39,69,84,11.14,broken clouds
123,Tiksi,RU,71.6872,128.8694,-7.71,94,100,8.3,overcast clouds
124,Pangnirtung,CA,66.1451,-65.7125,-18.09,84,97,4.85,overcast clouds
125,Atuona,PF,-9.8,-139.0333,78.8,78,16,19.01,light rain
126,Makakilo City,US,21.3469,-158.0858,80.56,59,20,6.91,few clouds
127,Whitecourt,CA,54.1502,-115.6855,22.24,100,75,0.0,broken clouds
128,Zhicheng,CN,30.2956,111.5047,35.71,95,100,1.83,light rain
129,Bilma,NE,18.6853,12.9164,54.5,24,0,6.85,clear sky
130,Saurimo,AO,-9.6608,20.3916,63.61,96,100,2.57,light rain
131,Sorland,NO,67.667,12.6934,38.01,96,100,37.76,light rain
132,Bambous Virieux,MU,-20.3428,57.7575,83.21,84,31,18.68,light rain
133,Payo,ID,-3.7508,103.6372,78.28,88,100,1.57,overcast clouds
134,Hofn,IS,64.2539,-15.2082,43.52,92,100,38.92,light rain
135,Hamilton,US,39.1834,-84.5333,17.82,75,0,0.0,clear sky
136,Kloulklubed,PW,7.0419,134.2556,77.5,80,100,19.82,moderate rain
137,Yulara,AU,-25.2406,130.9889,89.44,45,40,5.75,scattered clouds
138,Betioky,MG,-23.7167,44.3833,74.03,81,87,7.96,overcast clouds
139,Nikolskoye,RU,59.7035,30.7861,30.09,94,100,9.84,light snow
140,Longyearbyen,SJ,78.2186,15.6401,28.24,93,100,34.52,snow
141,Mahon,ES,39.8885,4.2658,46.96,76,75,11.5,broken clouds
142,Bluff,NZ,-46.6,168.3333,60.8,71,30,20.0,scattered clouds
143,Castro,BR,-24.7911,-50.0119,64.56,87,31,4.65,scattered clouds
144,Dingle,PH,10.9995,122.6711,82.81,69,100,11.32,overcast clouds
145,Zhigansk,RU,66.7697,123.3711,-13.0,97,100,16.8,overcast clouds
146,Port Elizabeth,ZA,-33.918,25.5701,70.11,94,20,9.22,few clouds
147,Mackenzie,CA,55.2999,-123.1698,37.62,75,100,11.5,overcast clouds
148,Prainha,BR,-1.8,-53.48,74.62,85,80,2.68,broken clouds
149,Walvis Bay,NA,-22.9575,14.5053,71.1,88,100,3.44,overcast clouds
150,Berekua,DM,15.2333,-61.3167,75.85,72,18,20.07,few clouds
151,Aklavik,CA,68.2191,-135.0107,-19.37,91,100,14.0,overcast clouds
152,Bandarbeyla,SO,9.4942,50.8122,74.77,78,100,16.24,overcast clouds
153,Saint-Philippe,RE,-21.3585,55.7679,81.99,86,39,17.31,scattered clouds
154,Pangody,RU,65.85,74.4859,2.5,96,100,11.21,overcast clouds
155,La Roche-Sur-Yon,FR,46.6667,-1.4333,33.24,93,0,6.91,clear sky
156,Bethel,US,41.3712,-73.414,20.68,65,0,5.75,clear sky
157,Don Sak,TH,9.3168,99.6918,85.95,74,3,3.56,clear sky
158,Qui Nhon,VN,13.7667,109.2333,75.56,75,0,3.51,clear sky
159,Hasaki,JP,35.7333,140.8333,48.29,35,4,9.46,clear sky
160,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,37,0,18.41,clear sky
161,Acambay,MX,19.9558,-99.8417,49.78,64,99,2.93,overcast clouds
162,Shahrud,IR,36.4182,54.9763,17.65,51,0,2.44,clear sky
163,Fairbanks,US,64.8378,-147.7164,19.36,85,40,0.0,scattered clouds
164,Onguday,RU,50.75,86.15,-8.93,99,49,1.92,scattered clouds
165,Babati,TZ,-4.2167,35.75,60.06,87,88,3.31,overcast clouds
166,Noshiro,JP,40.2039,140.0242,34.74,66,98,11.7,overcast clouds
167,Yarada,IN,17.65,83.2667,70.12,100,20,2.3,fog
168,Westport,US,41.1415,-73.3579,23.76,56,0,7.0,clear sky
169,Inirida,CO,3.8653,-67.9239,73.74,92,87,2.51,overcast clouds
170,Meulaboh,ID,4.1363,96.1285,81.77,70,20,3.09,few clouds
171,Kyzyl-Suu,KG,42.3414,78.0056,20.26,44,6,7.9,clear sky
172,Osoyoos,CA,49.0331,-119.4524,30.34,94,68,2.3,broken clouds
173,Nanortalik,GL,60.1432,-45.2371,19.83,91,100,10.63,snow
174,Mapiripan,CO,2.8892,-72.1256,77.68,70,81,3.27,broken clouds
175,Chuy,UY,-33.6971,-53.4616,74.55,93,100,5.19,moderate rain
176,Kahului,US,20.8947,-156.47,79.97,73,20,18.41,few clouds
177,Yasnyy,RU,51.0333,59.8742,-4.11,89,100,4.68,overcast clouds
178,La Trinite,MQ,14.7376,-60.9629,77.05,33,20,1.01,few clouds
179,Liepaja,LV,56.5419,21.0367,30.25,74,100,11.5,overcast clouds
180,Nuqui,CO,5.7125,-77.2708,77.18,90,100,3.8,moderate rain
181,Tosya,TR,41.0155,34.0401,30.69,97,100,2.64,light snow
182,Lorengau,PG,-2.0226,147.2712,85.41,66,99,8.16,overcast clouds
183,Rebrikha,RU,53.0733,82.3408,-6.63,100,83,2.3,broken clouds
184,Laguna,US,38.421,-121.4238,63.34,40,0,5.01,clear sky
185,Carnarvon,AU,-24.8667,113.6333,111.27,7,36,14.97,scattered clouds
186,Airai,TL,-8.9266,125.4092,72.05,65,98,3.71,overcast clouds
187,Dunedin,NZ,-45.8742,170.5036,62.8,65,6,3.0,clear sky
188,Kvarkeno,RU,52.0833,59.725,-3.44,99,100,3.51,overcast clouds
189,Mahebourg,MU,-20.4081,57.7,83.25,84,27,18.92,light rain
190,Zheleznodorozhnyy,RU,55.7503,38.0042,20.75,95,100,9.42,snow
191,Deputatskiy,RU,69.3,139.9,-20.79,84,97,3.85,overcast clouds
192,Kodiak,US,57.79,-152.4072,44.11,76,100,14.97,overcast clouds
193,Noumea,NC,-22.2763,166.4572,84.99,99,38,6.13,light rain
194,Luderitz,NA,-26.6481,15.1594,79.75,63,100,10.38,overcast clouds
195,Victoria,HK,22.2855,114.1577,66.18,93,100,3.0,overcast clouds
196,Varadero,CU,23.1536,-81.2514,74.16,78,35,3.2,scattered clouds
197,Cerritos,US,33.8583,-118.0648,69.78,32,20,3.0,few clouds
198,Yar-Sale,RU,66.8333,70.8333,13.06,94,100,15.21,overcast clouds
199,Srandakan,ID,-7.9386,110.2506,82.44,72,100,7.02,overcast clouds
200,Ugoofaaru,MV,5.6667,73.0,79.75,65,28,7.25,scattered clouds
201,Bud,US,39.447,-86.1758,19.38,73,0,5.08,clear sky
202,Mana,GF,5.6592,-53.7767,75.52,90,87,6.2,overcast clouds
203,Banepa,NP,27.6298,85.5214,41.32,100,75,0.0,mist
204,Adrar,MR,20.5022,-10.0711,64.47,24,97,10.67,overcast clouds
205,Cidreira,BR,-30.1811,-50.2056,76.96,88,12,21.68,few clouds
206,Bonthe,SL,7.5264,-12.505,74.7,86,2,3.04,clear sky
207,Muroto,JP,33.2833,134.15,51.84,55,11,0.47,few clouds
208,Elizabeth City,US,36.2946,-76.2511,31.98,93,100,20.71,snow
209,Ndele,CF,8.4109,20.6473,67.03,21,53,6.26,broken clouds
210,Kroya,ID,-7.6331,109.2461,82.13,73,100,5.37,overcast clouds
211,Chokurdakh,RU,70.6333,147.9167,-36.69,100,75,5.75,broken clouds
