City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kroya,ID,2022-01-21 01:46:53,-7.6331,109.2461,78.49,80,95,2.28
68,Saint-Philippe,RE,2022-01-21 01:46:53,-21.3585,55.7679,76.59,83,55,9.17
69,Brigantine,US,2022-01-21 01:46:53,39.4101,-74.3646,31.01,62,20,12.66
70,Zlatoust,RU,2022-01-21 01:42:01,55.1711,59.6508,2.07,94,34,0.98
71,Chokurdakh,RU,2022-01-21 01:46:54,70.6333,147.9167,-38.36,98,82,5.7
72,Porosozero,RU,2022-01-21 01:46:54,62.7191,32.727,26.35,97,100,5.91
73,Mascota,MX,2022-01-21 01:46:54,20.5167,-104.7833,61.3,59,100,2.37
74,Ahipara,NZ,2022-01-21 01:46:54,-35.1667,173.1667,71.13,52,26,13.78
75,Hithadhoo,MV,2022-01-21 01:46:55,-0.6,73.0833,81.88,73,100,7.38
76,Denpasar,ID,2022-01-21 01:46:55,-8.65,115.2167,82.06,78,40,12.66
77,Coquimbo,CL,2022-01-21 01:46:56,-29.9533,-71.3436,60.53,77,0,10.36
78,Victoria,HK,2022-01-21 01:42:18,22.2855,114.1577,66.38,79,100,1.99
79,Kavaratti,IN,2022-01-21 01:46:56,10.5669,72.642,80.29,71,95,10.36
80,Verkhnevilyuysk,RU,2022-01-21 01:46:56,63.4453,120.3167,-7.71,99,100,3.94
81,Midyat,TR,2022-01-21 01:46:56,37.4247,41.3393,9.32,78,3,4.9
82,San Ramon,US,2022-01-21 01:45:03,37.7799,-121.978,60.94,70,0,1.01
83,Buarcos,PT,2022-01-21 01:46:57,40.166,-8.8768,51.82,74,0,9.57
84,Jamestown,US,2022-01-21 01:46:57,42.097,-79.2353,13.59,85,100,5.75
85,Airai,TL,2022-01-21 01:46:06,-8.9266,125.4092,61.47,98,100,3.74
86,Dikson,RU,2022-01-21 01:46:57,73.5069,80.5464,5.81,94,100,13.69
87,Dunedin,NZ,2022-01-21 01:46:57,-45.8742,170.5036,64.8,57,99,13.0
88,Karasjok,NO,2022-01-21 01:46:58,69.4719,25.5112,23.11,87,19,11.23
89,Plaster Rock,CA,2022-01-21 01:46:58,46.9065,-67.39,1.92,97,22,3.22
90,Clyde River,CA,2022-01-21 01:46:58,70.4692,-68.5914,-1.97,84,96,4.61
91,Muborak,UZ,2022-01-21 01:46:58,39.2553,65.1528,41.11,46,1,10.02
92,Castro,BR,2022-01-21 01:47:59,-24.7911,-50.0119,65.1,90,88,2.46
93,Mahebourg,MU,2022-01-21 01:47:59,-20.4081,57.7,80.89,89,75,14.97
94,Sitka,US,2022-01-21 01:44:11,57.0531,-135.33,39.09,93,100,8.05
95,Luwuk,ID,2022-01-21 01:47:59,-0.9516,122.7875,84.99,73,85,1.9
96,Usinsk,RU,2022-01-21 01:48:00,65.9939,57.5281,14.7,92,100,22.86
97,Port Lincoln,AU,2022-01-21 01:45:12,-34.7333,135.8667,71.73,81,100,10.51
98,Poplar Bluff,US,2022-01-21 01:48:00,36.757,-90.3929,22.73,53,0,11.5
99,Butaritari,KI,2022-01-21 01:48:00,3.0707,172.7902,81.86,73,100,17.09
100,Miramar,US,2022-01-21 01:48:00,25.9873,-80.2323,73.42,95,100,5.75
101,Dashitou,CN,2022-01-21 01:48:01,43.3067,128.5114,4.01,71,13,1.14
102,Esperance,AU,2022-01-21 01:48:01,-33.8667,121.9,73.24,54,0,11.07
103,Avarua,CK,2022-01-21 01:47:13,-21.2078,-159.775,80.65,89,100,10.36
104,Gasa,PS,2022-01-21 01:46:55,31.5,34.4667,48.18,60,12,6.38
105,Khatanga,RU,2022-01-21 01:48:01,71.9667,102.5,-2.24,93,100,9.8
106,Touros,BR,2022-01-21 01:48:01,-5.1989,-35.4608,81.5,73,62,8.9
107,Nikolskoye,RU,2022-01-21 01:48:02,59.7035,30.7861,30.09,97,92,3.87
108,Mataura,NZ,2022-01-21 01:48:02,-46.1927,168.8643,58.48,57,92,8.75
109,Tabuk,PH,2022-01-21 01:48:02,17.4189,121.4443,73.4,84,86,2.53
110,Buala,SB,2022-01-21 01:48:03,-8.145,159.5921,79.95,87,100,8.86
111,Sandi,IN,2022-01-21 01:48:03,27.3,79.95,51.62,75,49,2.64
112,Ilulissat,GL,2022-01-21 01:48:03,69.2167,-51.1,19.42,73,100,14.97
113,Severo-Kurilsk,RU,2022-01-21 01:48:03,50.6789,156.125,31.42,80,100,26.28
114,Mackenzie,CA,2022-01-21 01:48:04,55.2999,-123.1698,30.42,100,75,2.3
115,Jalu,LY,2022-01-21 01:48:04,29.0331,21.5482,51.3,56,6,5.88
116,Cabo San Lucas,MX,2022-01-21 01:45:54,22.8909,-109.9124,73.51,62,100,1.68
117,Ocampo,MX,2022-01-21 01:48:04,21.65,-101.5,57.97,21,100,4.72
118,Umm Lajj,SA,2022-01-21 01:48:05,25.0213,37.2685,60.51,38,0,15.48
119,Linxia,CN,2022-01-21 01:48:05,35.6003,103.2064,31.39,66,99,2.08
120,Kuju,IN,2022-01-21 01:48:06,23.7167,85.5,57.94,51,35,1.63
121,East London,ZA,2022-01-21 01:48:06,-33.0153,27.9116,71.42,83,98,17.58
122,Sisimiut,GL,2022-01-21 01:48:06,66.9395,-53.6735,14.09,78,100,26.35
123,Kuopio,FI,2022-01-21 01:48:06,62.8924,27.677,21.15,86,75,13.8
124,Arraial Do Cabo,BR,2022-01-21 01:47:16,-22.9661,-42.0278,75.79,89,20,13.96
125,Kamenka,RU,2022-01-21 01:48:07,51.3223,42.7678,4.86,99,98,11.81
126,Bluff,NZ,2022-01-21 01:48:07,-46.6,168.3333,58.8,76,100,18.57
127,Koslan,RU,2022-01-21 01:48:07,63.4564,48.8989,22.21,93,100,9.01
128,Erzurum,TR,2022-01-21 01:48:08,40.0,41.5,-0.72,98,95,5.59
129,Tazovskiy,RU,2022-01-21 01:48:08,67.4667,78.7,11.82,88,99,17.56
130,Kavieng,PG,2022-01-21 01:48:08,-2.5744,150.7967,82.58,73,100,3.11
131,Lebu,CL,2022-01-21 01:48:08,-37.6167,-73.65,54.57,81,0,2.82
132,Nome,US,2022-01-21 01:48:09,64.5011,-165.4064,5.07,72,100,16.11
133,Bubaque,GW,2022-01-21 01:48:09,11.2833,-15.8333,78.44,70,67,9.15
134,Roma,US,2022-01-21 01:43:19,43.2128,-75.4557,12.43,75,0,6.91
135,Plouzane,FR,2022-01-21 01:48:09,48.3833,-4.6167,39.25,90,75,3.44
136,Ancud,CL,2022-01-21 01:49:09,-41.8697,-73.8203,56.73,89,11,8.97
137,Eldorado,BR,2022-01-21 01:49:10,-23.7869,-54.2836,81.09,66,100,7.0
138,Barra Patuca,HN,2022-01-21 01:49:10,15.8,-84.2833,75.99,87,5,8.46
139,Reda,PL,2022-01-21 01:49:10,54.6053,18.3472,35.04,83,99,8.01
140,Port Elizabeth,ZA,2022-01-21 01:49:11,-33.918,25.5701,71.1,83,100,17.27
141,Richards Bay,ZA,2022-01-21 01:49:11,-28.783,32.0377,68.43,92,8,5.82
142,Lorengau,PG,2022-01-21 01:49:11,-2.0226,147.2712,82.9,79,95,7.81
